book,chapter,verse,duration
1,31,13,16.431
1,31,14,7.784438
1,31,15,8.777125
1,31,16,11.650562
1,31,17,5.250563
1,31,18,13.374688
1,31,19,7.52325
1,31,20,8.306938
1,31,21,10.057125
1,31,22,5.381188
1,31,23,10.9975
1,31,24,11.598313
1,31,25,9.377937
1,31,26,10.893062
1,31,27,12.956687
1,31,28,8.124062
1,31,29,13.60975
1,31,30,10.213875
1,31,31,9.377937
1,31,32,14.88975
1,31,33,12.8
1,31,34,11.36325
1,31,35,13.400812
1,31,36,13.191812
1,31,37,12.564875
1,31,38,10.762437
1,31,39,11.52
1,31,40,8.80325
1,31,41,14.053875
1,31,42,16.248125
1,31,43,17.214688
1,31,44,6.687312
1,31,45,5.381188
1,31,46,11.46775
1,31,47,7.340375
1,31,48,8.48975
1,31,49,8.620375
1,31,50,11.04975
1,31,51,9.795875
1,31,52,18.468563
1,31,53,11.311
1,31,54,10.527312
1,32,1,11.180375
1,32,2,5.564062
1,32,3,10.161625
1,32,4,7.706062
1,32,5,11.546062
1,32,6,9.560812
1,32,7,9.848125
1,32,8,12.382
1,32,9,8.777125
1,32,10,13.191812
1,32,11,14.445688
1,32,12,8.80325
1,32,13,9.325687
1,32,14,7.000812
1,32,15,6.4
1,32,16,10.109375
1,32,17,11.102
1,32,18,13.400812
1,32,19,9.377937
1,32,20,12.251375
1,32,21,16.979563
1,32,22,5.982
1,32,23,11.36325
1,32,24,6.530563
1,32,25,7.000812
1,32,26,11.04975
1,32,27,8.38525
1,32,28,4.832625
1,32,29,11.964062
1,32,30,10.292188
1,32,31,9.273438
1,32,32,5.92975
1,32,33,13.5575
1,33,1,12.355875
1,33,2,10.344437
1,33,3,7.967313
1,33,4,8.777125
1,33,5,12.4865
1,33,6,5.851375
1,33,7,7.758312
1,33,8,8.071813
1,33,9,5.982
1,33,10,14.341188
1,33,11,11.04975
1,33,12,4.85875
1,33,13,11.964062
1,33,14,15.281625
1,33,15,10.448937
1,33,16,4.780375
1,33,17,9.743625
1,33,18,9.743625
1,33,19,9.87425
1,33,20,6.452187
1,34,1,6.948562
1,34,2,10.579562
1,34,3,8.777125
1,34,4,7.3665
1,34,5,11.36325
1,34,6,4.075062
1,34,7,16.143625
1,34,8,10.266063
1,34,9,7.131375
1,34,10,8.59425
1,34,11,7.758312
1,34,12,9.560812
1,34,13,8.8555
1,34,14,10.866938
1,34,15,6.687312
1,34,16,10.161625
1,34,17,5.851375
1,34,18,6.34775
1,34,19,7.967313
1,34,20,7.053063
1,34,21,17.44975
1,34,22,11.180375
1,34,23,8.777125
1,34,24,10.266063
1,34,25,14.471813
1,34,26,8.59425
1,34,27,7.471
1,34,28,7.653875
1,34,29,8.359125
1,34,30,18.233438
1,34,31,4.54525
1,35,1,14.576313
1,35,2,12.773875
1,35,3,11.964062
1,35,4,13.191812
1,35,5,9.639125
1,35,6,8.254687
1,35,7,10.762437
1,35,8,10.057125
1,35,9,6.765688
1,35,10,13.374688
1,35,11,12.852187
1,35,12,12.146937
1,35,13,5.381188
1,35,14,12.956687
1,35,15,6.452187
1,35,16,9.97875
1,35,17,8.777125
1,35,18,8.59425
1,35,19,5.746937
1,35,20,7.967313
1,35,21,6.0865
1,35,22,14.341188
1,35,23,8.4375
1,35,24,2.351
1,35,25,3.944437
1,35,26,9.273438
1,35,27,9.456312
1,35,28,3.57875
1,35,29,10.762437
1,36,1,3.36975
1,36,2,11.964062
1,36,3,3.657125
1,36,4,6.687312
1,36,5,9.743625
1,36,6,19.461188
1,36,7,10.579562
1,36,8,4.440812
1,36,9,3.761625
1,36,10,8.777125
1,36,11,6.0865
1,36,12,9.560812
1,36,13,10.057125
1,36,14,11.284875
1,36,15,9.377937
1,36,16,8.254687
1,36,17,14.759125
1,36,18,13.035063
1,36,19,4.075062
1,36,20,6.948562
1,36,21,7.053063
1,36,22,4.96325
1,36,23,6.948562
1,36,24,10.448937
1,36,25,5.250563
1,36,26,5.982
1,36,27,4.85875
1,36,28,3.47425
1,36,29,6.870188
1,36,30,9.743625
1,36,31,6.269375
1,36,32,5.250563
1,36,33,6.34775
1,36,34,5.041625
1,36,35,8.777125
1,36,36,5.381188
1,36,37,5.146063
1,36,38,4.96325
1,36,39,13.191812
1,36,40,8.8555
1,36,41,4.780375
1,36,42,3.657125
1,36,43,9.97875
1,37,1,4.85875
1,37,2,17.632625
1,37,3,8.4375
1,37,4,9.560812
1,37,5,6.948562
1,37,6,5.381188
1,37,7,14.942
1,37,8,12.564875
1,37,9,15.647312
1,37,10,14.942
1,37,11,5.459562
1,37,12,3.657125
1,37,13,9.743625
1,37,14,12.251375
1,37,15,8.176312
1,37,16,7.053063
1,37,17,11.180375
1,37,18,7.131375
1,37,19,5.381188
1,37,20,12.852187
1,37,21,7.3665
1,37,22,15.882437
1,37,23,9.456312
1,37,24,6.948562
1,37,25,17.084062
1,37,26,7.471
1,37,27,11.04975
1,37,28,14.942
1,37,29,8.59425
1,37,30,8.359125
1,37,31,8.59425
1,37,32,13.5575
1,37,33,9.377937
1,37,34,9.273438
1,37,35,14.341188
1,37,36,8.672625
1,38,1,8.672625
